Agreement Date,Institution Name,Plan Name,Availability of Credit Card Plan,Location,APR,Index,Variable Rate Index,Grace Period,Annual Fee,Late Fee,Telephone Number for Consumers
2022-07-31,"Citibank, N.A.",Citi Double Cash Card Agreement.pdf,National,National,21.24,V,Prime,23,,41,(800) 842-6596
2022-07-31,Truliant Federal Credit Union,Visa Transparent Card Agreement.pdf,National,National,10.74,V,Prime,25,,,(800) 822-0382
2022-07-31,Georgia United Credit Union,Visa Cash Back Credit Card Disclosure and Agreement.pdf,National,National,17.24,V,Prime,31,,25,(888) 493-4328
2022-07-31,"American Eagle Financial Credit Union, Inc.",Visa Platinum Credit Card,Regional,CT; MA;,14.7,V,Prime,25,,25,(800) 842-0145
2022-07-31,Barclays Bank Delaware,American Airlines,National,National,22.74,V,Prime,23,99,40,(866) 603-7217
2022-07-31,First National Bank Alaska,Mastercard,One State,AK,13.9,F,,25,,,(800) 856-4362
2022-07-31,Oklahoma'S Credit Union,Oklahoma's Credit Union Smart Card,National,National,15.24,V,Prime,30,,25,(877) 677-6328
2022-07-31,Avidia Bank,Platinum Card,One State,MA,11.4,V,Prime,30,,,(800) 221-5920
2022-07-31,Indiana Members Credit Union,Premier Rewards +,National,National,17.49,V,Prime,,,,(317) 554-8235
2022-07-31,Interra Credit Union,MasterCard Credit Card Agreement.pdf,Regional,IN; MI;,16.25,V,Prime,25,,25,(888) 432-2848
2022-07-31,Truist Bank,Truist Enjoy Cash Credit Card Agreement,Regional,AL; AR; DC; FL; GA; IN; KY; MD; MS; NJ; NC; OH; PA; SC; TN; TX; VA; WV;,19.49,V,Prime,25,,27,(844) 487-8478
2022-07-31,"Wells Fargo Bank, National Association",Wells Fargo Active Cash Card.pdf,National,National,21.49,V,Prime,25,,,(866) 568-6521
2022-07-31,"Capital One Bank (Usa), National Association",Capital One Platinum (MasterCard),National,National,26.99,V,Prime,25,,40,(800) 695-5500
2022-07-31,Prosperity Bank,Visa,Regional,OK; TX;,14.99,F,,25,,,(800) 531-1401
2022-07-31,Three Rivers Bank Of Montana,Visa Classic,One State,MT,14.88,F,,25,,,(406) 755-4271
2022-07-31,Ocean State Credit Union,Visa,National,National,12.9,F,,,,25,(877) 397-1900
2022-07-31,Baxter Credit Union,Travel Rewards Visa Signature,National,National,15.82,V,Prime,,,29,(800) 388-7000
2022-07-31,Northwest Bank,Northwest Loyalty Visa,Regional,IN; NY; OH; PA;,13.49,V,Prime,30,,25,(877) 672-5678
2022-07-31,"Jpmorgan Chase Bank, National Association",Visa Signature or Infinite/Mastercard World Elite Agreement (PDF),National,National,20.87,V,Prime,21,,29,(888) 338-9464
2022-07-31,Firstbank Puerto Rico,Beyond Platinum Mastercard,Regional,PR; VI;,21.63,V,Prime,30,,25,(855) 701-2265
2022-07-31,University Of Kentucky Federal Credit Union,Application & Solicitation Disclosure,National,National,13.75,V,Prime,25,,29,(859) 264-4200
2022-07-31,Arizona Financial Credit Union,Visa Platinum Rewards,National,National,13.61,F,,25,,25,(800) 523-4603
2022-07-31,Central Bank & Trust Company,Visa,Regional,IN; KY; OH;,18.5,F,,25,20,5,(800) 637-6884
2022-07-31,Newtown Savings Bank,Mastercard Consumer Platinum Rewards,One State,CT,17.49,V,Prime,25,,25,(800) 461-0672
2022-07-31,Utah Community Federal Credit Union,Visa Platinum Credit Card,National,National,12.25,V,Prime,25,,25,(800) 453-8188
2022-07-31,Johnson Bank,Elan VISA Signature,National,National,21.24,V,Prime,27,0,41,(800) 558-3424
2022-07-31,Celtic Bank Corporation,"Indigo Mastercard - 24.9% APR, $75-99 AF, $300 CL",National,National,24.9,F,,30,75,29,(800) 353-5920
2022-07-31,"Bank Of America, National Association","Credit Card Agreement for Bank of America Platinum Mastercard, World Mastercard, Platinum Visa, Visa Signature, and Visa Infinite",National,National,21.24,V,Prime,25,,29,(800) 932-2775
2022-07-31,Tower Federal Credit Union,Gold Mastercard,National,National,13.4,F,,25,,20,(800) 787-8328
2022-07-31,Farmers State Bank,Visa Platinum Preferred,One State,IA,9.75,V,Prime,25,,30,(888) 461-0821
2022-07-31,"Credit One Bank, National Association",Credit One Bank Card Agreements,National,National,25.49,V,Prime,24,99,29,(877) 825-3242
2022-07-31,Achieva Credit Union,Credit Card Agreement.pdf,National,National,13.9,F,,25,,25,(800) 593-2274
2022-07-31,Pinnacle Bank,Visa,Regional,AZ; CO; KS; MO; NE; NM; TX; WY;,15.99,F,,25,,25,(800) 261-8852
2022-07-31,German American Bank - Whitehall Branch,Heartland Classic Credit Card,National,National,17.9,V,Prime,25,,25,(800) 697-0049
2022-07-31,American Express National Bank,Blue Cash Every Day,National,National,21.74,V,Prime,25,,29,(800) 528-4800
2022-07-31,"Bank Of Tampa, The",Minaret Visa Black - Relationship Banking,One State,FL,5.5,V,Prime,25,,27,(813) 872-1282
2022-07-31,One Nevada Credit Union,Visa,National,National,15,V,Prime,25,0,27,(800) 388-3000
2022-07-31,Marriott Employees Federal Credit Union,Visa Credit Card Agreement.pdf,National,National,14.13,F,,25,,25,(800) 821-7280
2022-07-31,Lake Michigan Credit Union,Max Rewards - Visa Credit Card Agreement and Disclosures,National,National,14.75,V,Prime,25,,25,(800) 242-9790
2022-07-31,Navy Federal Credit Union,573CC (5_22),National,National,14.2,V,Prime,30,,20,(888) 842-6328
2022-07-31,Delta Community Credit Union,Visa Credit Card Agreement and Disclosure.pdf,National,National,12.5,V,Prime,25,,25,(800) 544-3328
2022-07-31,Vystar Credit Union,Variable Platinum,National,National,12.75,V,Prime,10,,25,(877) 366-3565
2022-07-31,Old Second National Bank - Lombard Branch,VISA CLASSIC,One State,IL,14.5,V,Prime,25,,29,(630) 652-2000
2022-07-31,Idaho Central Credit Union,Visa Platinum,National,National,15.99,F,,10,,15,(800) 456-5067
2022-07-31,Civic Federal Credit Union,Visa Credit Cardholder Agreement and Disclosures.pdf,Regional,GA; NC; SC; TN; VA;,12,F,Six-month T-bill,30,,,(888) 732-8562
